# id	left	top	right	bottom	texture_id
[SPRITES]
#GROUND
400001	112	128	127	143	40
400002	128	128	143	143	40
400003	144	128	159	143	40	

#GROUND_BELOW
400004	0	144	15	159	40
400005	16	144	31	159	40
400006	32	144	47	159	40

#PINK_BOX

400007	64	16	79	31	40
400008	80	16	95	31	40
400009	96	16	111	31	40

400010	96	96	111	111	40
400011	112	96	127	111	40
400012	128	96	143	111	40

400013	128	16	143	31	40
400014	144	16	159	31	40
400015	160	16	175	31	40

#BLUE_BOX
400016	128	64	143	95	40
400017	144	64	159	95	40
400018	160	64	175	95	40

400019	180	64	195	83	40
400020	196	64	211	83	40
400021	212	64	227	83	40

